Repo_Name,GitHub URL,Total number of UML files,No. of .uml,No. of .xmi,No. of .svg,No. of .png,No. of .jpeg,No. of .bmp,No. of .jpg,No. of .gif,Status,New location
knot3/knot3-prototype/,https://github.com/knot3/knot3-prototype/,217,217,0,0,0,0,0,0,0,200,
biddyweb/Andromedia/,https://github.com/biddyweb/Andromedia/,214,206,5,0,0,0,0,2,1,200,
edipofederle/architecture-representation/,https://github.com/edipofederle/architecture-representation/,186,186,0,0,0,0,0,0,0,200,
ClockWorkTeam/ClockWork/,https://github.com/ClockWorkTeam/ClockWork/,185,184,0,1,0,0,0,0,0,200,
edemairy/TC/,https://github.com/edemairy/TC/,178,0,0,0,7,0,0,0,171,200,
juancadavid/papyrus/,https://github.com/juancadavid/papyrus/,173,142,1,0,23,2,5,0,0,404,
cathywu/Sentiment-Analysis/,https://github.com/cathywu/Sentiment-Analysis/,168,0,0,0,0,0,0,0,168,200,
mgontav/PyML/,https://github.com/mgontav/PyML/,168,0,0,0,0,0,0,0,168,200,
sluggishcrow/PyML/,https://github.com/sluggishcrow/PyML/,168,0,0,0,0,0,0,0,168,301,https://github.com/basirshariat/PyML
eclipse/gmf-tooling.uml2tools/,https://github.com/eclipse/gmf-tooling.uml2tools/,166,166,0,0,0,0,0,0,0,404,
pkpp1233/PyML/,https://github.com/pkpp1233/PyML/,165,0,0,0,0,0,0,0,165,200,
uidaho/cs383/,https://github.com/uidaho/cs383/,162,160,0,0,2,0,0,0,0,200,
64kbytes/coldwar/,https://github.com/64kbytes/coldwar/,160,0,0,0,0,0,0,0,160,404,
google-code/alban/,https://github.com/google-code/alban/,157,157,0,0,0,0,0,0,0,404,
info-sharing-environment/NIEM-Modeling-Tool/,https://github.com/info-sharing-environment/NIEM-Modeling-Tool/,152,50,102,0,0,0,0,0,0,200,
T00N3/T00N3Kit/,https://github.com/T00N3/T00N3Kit/,150,0,0,0,0,0,0,0,150,404,
andrewtron3000/embedded-ml/,https://github.com/andrewtron3000/embedded-ml/,147,147,0,0,0,0,0,0,0,200,
AlbanAndrieu/nabla-andromda/,https://github.com/AlbanAndrieu/nabla-andromda/,146,146,0,0,0,0,0,0,0,200,
chaitanyambilgikar/B551-Fall-2012/,https://github.com/chaitanyambilgikar/B551-Fall-2012/,146,0,0,0,0,0,0,0,146,200,
Marusyk/PatternsProjects/,https://github.com/Marusyk/PatternsProjects/,143,143,0,0,0,0,0,0,0,301,https://github.com/Marusyk/DesignPatterns
benyu2/Test/,https://github.com/benyu2/Test/,142,0,0,0,142,0,0,0,0,200,
Gabitchov/org.eclipse.papyrus/,https://github.com/Gabitchov/org.eclipse.papyrus/,127,123,1,0,1,2,0,0,0,200,
unidal/garden/,https://github.com/unidal/garden/,121,121,0,0,0,0,0,0,0,200,
recotak/recotak-framework/,https://github.com/recotak/recotak-framework/,121,0,0,0,0,0,0,0,121,200,
eclipse/jetty/,https://github.com/eclipse/jetty/,120,0,0,0,120,0,0,0,0,404,
ted-ross/transom/,https://github.com/ted-ross/transom/,115,0,0,0,115,0,0,0,0,200,
Obeo/emf.compare.acceptance.tests/,https://github.com/Obeo/emf.compare.acceptance.tests/,114,114,0,0,0,0,0,0,0,200,
GufCab/Semester-Projekt---PC-Program/,https://github.com/GufCab/Semester-Projekt---PC-Program/,113,113,0,0,0,0,0,0,0,200,
mda-codegen/mda-codegen/,https://github.com/mda-codegen/mda-codegen/,113,108,3,0,0,0,0,0,2,404,
GRA-UML/specification/,https://github.com/GRA-UML/specification/,111,95,15,0,1,0,0,0,0,200,
atafs/PROJECTS_JavaSE_2POO_electricGrid/,https://github.com/atafs/PROJECTS_JavaSE_2POO_electricGrid/,110,0,0,0,100,0,0,8,2,200,
NurlashKO/Labs/,https://github.com/NurlashKO/Labs/,108,7,0,0,89,0,0,12,0,200,
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,107,13,0,0,49,0,0,45,0,404,
eclipse/ocl/,https://github.com/eclipse/ocl/,107,94,10,0,3,0,0,0,0,404,
artist-project/ARTIST-Orchestration_Tool/,https://github.com/artist-project/ARTIST-Orchestration_Tool/,105,105,0,0,0,0,0,0,0,200,
da-baranov/barcline-openehr/,https://github.com/da-baranov/barcline-openehr/,104,0,0,0,0,0,0,104,0,404,
Symfomany/store/,https://github.com/Symfomany/store/,102,33,0,34,34,0,0,1,0,200,
Chinchilla-Software-Com/CQRS/,https://github.com/Chinchilla-Software-Com/CQRS/,101,101,0,0,0,0,0,0,0,200,
Pegase007/Cours_Exo_Dev/,https://github.com/Pegase007/Cours_Exo_Dev/,101,34,0,35,32,0,0,0,0,200,
zdimon/angular-chat/,https://github.com/zdimon/angular-chat/,100,0,0,0,100,0,0,0,0,200,
lanshenjialidun/LovelyPython/,https://github.com/lanshenjialidun/LovelyPython/,98,0,0,0,0,0,0,0,98,200,
sebhaase/priithon/,https://github.com/sebhaase/priithon/,96,0,0,0,0,0,0,0,96,200,
openEHR/reference-models/,https://github.com/openEHR/reference-models/,95,0,1,0,0,0,0,94,0,200,
estheryou/google-api-python-client/,https://github.com/estheryou/google-api-python-client/,92,0,0,0,0,0,0,0,92,200,
gsutil-mirrors/google-api-python-client/,https://github.com/gsutil-mirrors/google-api-python-client/,92,0,0,0,0,0,0,0,92,200,
moughamir/google-api-python-client/,https://github.com/moughamir/google-api-python-client/,92,0,0,0,0,0,0,0,92,200,
zhukovka/student_webcamp/,https://github.com/zhukovka/student_webcamp/,91,0,0,0,0,0,0,0,91,200,
PublicMapping/DistrictBuilder/,https://github.com/PublicMapping/DistrictBuilder/,90,0,0,0,0,0,0,0,90,200,
zactyy/cpts323/,https://github.com/zactyy/cpts323/,89,89,0,0,0,0,0,0,0,200,
zhaozhenxiang/MyDPByPHP/,https://github.com/zhaozhenxiang/MyDPByPHP/,86,35,0,31,20,0,0,0,0,200,
zlphoenix/LearnCSharp/,https://github.com/zlphoenix/LearnCSharp/,85,84,0,0,1,0,0,0,0,200,
ssorj/transom/,https://github.com/ssorj/transom/,84,0,0,0,84,0,0,0,0,200,
drj826/sml-library/,https://github.com/drj826/sml-library/,80,0,5,0,75,0,0,0,0,200,
foutrelis/pacmarge-archive/,https://github.com/foutrelis/pacmarge-archive/,80,80,0,0,0,0,0,0,0,404,
MediaMotionCommunity/MediaMotion/,https://github.com/MediaMotionCommunity/MediaMotion/,77,77,0,0,0,0,0,0,0,200,
openEHR/specifications/,https://github.com/openEHR/specifications/,77,0,0,0,77,0,0,0,0,200,
ObeoNetwork/UML-Designer/,https://github.com/ObeoNetwork/UML-Designer/,76,15,0,0,53,0,0,8,0,200,
lwalid/idm/,https://github.com/lwalid/idm/,75,5,0,0,64,0,0,6,0,200,
CarlKlagba/jhipster-uml-editor/,https://github.com/CarlKlagba/jhipster-uml-editor/,74,34,40,0,0,0,0,0,0,200,
artist-project/ARTIST-MCF/,https://github.com/artist-project/ARTIST-MCF/,73,73,0,0,0,0,0,0,0,200,
UmSenhorQualquer/pyforms/,https://github.com/UmSenhorQualquer/pyforms/,73,0,0,0,0,0,0,0,73,200,
muhamadnurawaludin/Crimezone/,https://github.com/muhamadnurawaludin/Crimezone/,72,72,0,0,0,0,0,0,0,200,
caspar/Altova/,https://github.com/caspar/Altova/,71,0,2,0,69,0,0,0,0,200,
maidaisy/GitHub/,https://github.com/maidaisy/GitHub/,71,49,0,0,18,1,0,3,0,404,
edoardogiacomello/SE2-FontanaGiacomello/,https://github.com/edoardogiacomello/SE2-FontanaGiacomello/,69,0,0,0,69,0,0,0,0,200,
dzerbino/cn-avg/,https://github.com/dzerbino/cn-avg/,68,0,0,0,0,0,0,0,68,200,
devinh/KinectRCCar/,https://github.com/devinh/KinectRCCar/,67,67,0,0,0,0,0,0,0,404,
luancarloswd/CoachingPlan/,https://github.com/luancarloswd/CoachingPlan/,65,65,0,0,0,0,0,0,0,200,
Marloncheg182/Examples/,https://github.com/Marloncheg182/Examples/,65,65,0,0,0,0,0,0,0,200,
androm3da/clang_sles/,https://github.com/androm3da/clang_sles/,65,0,0,0,0,0,0,0,65,200,
chapuni/lldb/,https://github.com/chapuni/lldb/,65,0,0,0,0,0,0,0,65,200,
chapuni/llvm-project/,https://github.com/chapuni/llvm-project/,65,0,0,0,0,0,0,0,65,200,
dansgithubuser/lldb/,https://github.com/dansgithubuser/lldb/,65,0,0,0,0,0,0,0,65,200,
fbsd/lldb/,https://github.com/fbsd/lldb/,65,0,0,0,0,0,0,0,65,200,
gajim/python-nbxmpp/,https://github.com/gajim/python-nbxmpp/,65,0,0,0,0,0,0,0,65,200,
geekboxzone/lollipop_external_lldb/,https://github.com/geekboxzone/lollipop_external_lldb/,65,0,0,0,0,0,0,0,65,200,
jabber-at/python-nbxmpp/,https://github.com/jabber-at/python-nbxmpp/,65,0,0,0,0,0,0,0,65,200,
jbush001/NyuziToolchain/,https://github.com/jbush001/NyuziToolchain/,65,0,0,0,0,0,0,0,65,200,
llvm-mirror/lldb/,https://github.com/llvm-mirror/lldb/,65,0,0,0,0,0,0,0,65,200,
losalamos/scout/,https://github.com/losalamos/scout/,65,0,0,0,0,0,0,0,65,301,https://github.com/lanl/scout
MIPS/external-lldb/,https://github.com/MIPS/external-lldb/,65,0,0,0,0,0,0,0,65,200,
Omegaphora/external_lldb/,https://github.com/Omegaphora/external_lldb/,65,0,0,0,0,0,0,0,65,200,
pabloariasmora/BattlePong/,https://github.com/pabloariasmora/BattlePong/,65,65,0,0,0,0,0,0,0,404,
pisilinux/uludag/,https://github.com/pisilinux/uludag/,65,0,65,0,0,0,0,0,0,200,
unknownv2/lldb-310.2.36/,https://github.com/unknownv2/lldb-310.2.36/,65,0,0,0,0,0,0,0,65,404,
checha9i/IPC2J15/,https://github.com/checha9i/IPC2J15/,64,34,0,0,0,0,0,30,0,200,
svn2github/OpenDDS/,https://github.com/svn2github/OpenDDS/,64,19,25,0,20,0,0,0,0,200,
apanda/e2d2-lldb/,https://github.com/apanda/e2d2-lldb/,64,0,0,0,0,0,0,0,64,200,
apple/swift-lldb/,https://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,200,
crystax/android-toolchain-lldb-3-7/,https://github.com/crystax/android-toolchain-lldb-3-7/,64,0,0,0,0,0,0,0,64,200,
geekboxzone/mmallow_external_lldb/,https://github.com/geekboxzone/mmallow_external_lldb/,64,0,0,0,0,0,0,0,64,200,
iains/llvm-project/,https://github.com/iains/llvm-project/,64,0,0,0,0,0,0,0,64,200,
jorj1988/lldb/,https://github.com/jorj1988/lldb/,64,0,0,0,0,0,0,0,64,301,https://github.com/0x55555555/lldb
reingart/gui2py_googlecode/,https://github.com/reingart/gui2py_googlecode/,64,0,0,0,64,0,0,0,0,200,
TechExhibeo/lenovo_a7000_aio_source/,https://github.com/TechExhibeo/lenovo_a7000_aio_source/,63,1,0,0,0,0,0,0,62,200,
crystax/android-toolchain-lldb-3-6/,https://github.com/crystax/android-toolchain-lldb-3-6/,63,0,0,0,0,0,0,0,63,200,
jalbersol/plantumlqeditor/,https://github.com/jalbersol/plantumlqeditor/,62,0,0,62,0,0,0,0,0,200,
NoNo1234/the_walking_project/,https://github.com/NoNo1234/the_walking_project/,62,0,0,0,0,0,0,0,62,200,
artist-project/ARTIST-MDT/,https://github.com/artist-project/ARTIST-MDT/,61,61,0,0,0,0,0,0,0,200,
cormacio100/googleMapsAPI/,https://github.com/cormacio100/googleMapsAPI/,61,2,0,0,59,0,0,0,0,404,
JohanBeekers/Jue_De_Barricade/,https://github.com/JohanBeekers/Jue_De_Barricade/,61,61,0,0,0,0,0,0,0,200,
kayronclay/PSI_SZONE/,https://github.com/kayronclay/PSI_SZONE/,61,0,0,0,33,0,0,28,0,404,
ljvblfz/MicrosoftNLayerApp/,https://github.com/ljvblfz/MicrosoftNLayerApp/,61,61,0,0,0,0,0,0,0,200,
zlphoenix/MyDemos/,https://github.com/zlphoenix/MyDemos/,61,61,0,0,0,0,0,0,0,200,
knot3/CSharpUML/,https://github.com/knot3/CSharpUML/,61,55,0,6,0,0,0,0,0,200,
Philippe-Lawrence/pyBar/,https://github.com/Philippe-Lawrence/pyBar/,61,0,0,0,61,0,0,0,0,200,
z3ss/SoftwareArchitecture/,https://github.com/z3ss/SoftwareArchitecture/,60,48,0,0,10,0,0,2,0,301,https://github.com/mohronic/SoftwareArchitecture
nonotOnanad/myRepo/,https://github.com/nonotOnanad/myRepo/,60,0,0,0,60,0,0,0,0,200,
crowdcode-de/KissMDA/,https://github.com/crowdcode-de/KissMDA/,58,56,0,0,0,0,0,2,0,200,
dsheiko/design-patterns-for-web-developer/,https://github.com/dsheiko/design-patterns-for-web-developer/,58,0,0,0,58,0,0,0,0,200,
RivaCode/BSpline3DGen/,https://github.com/RivaCode/BSpline3DGen/,58,58,0,0,0,0,0,0,0,404,
DevBoost/Reuseware/,https://github.com/DevBoost/Reuseware/,57,57,0,0,0,0,0,0,0,200,
tradi/TestAutomationFramework/,https://github.com/tradi/TestAutomationFramework/,57,57,0,0,0,0,0,0,0,404,
dkaynarc/cygnus/,https://github.com/dkaynarc/cygnus/,56,56,0,0,0,0,0,0,0,200,
apis-bulgaria/EUCases.Crawlers/,https://github.com/apis-bulgaria/EUCases.Crawlers/,56,0,0,0,56,0,0,0,0,200,
bootchk/pensool/,https://github.com/bootchk/pensool/,56,0,0,0,0,0,0,0,56,200,
cmbruns/moltk/,https://github.com/cmbruns/moltk/,56,0,0,0,0,0,0,0,56,200,
TesByRus/MusicXMLViewer/,https://github.com/TesByRus/MusicXMLViewer/,56,56,0,0,0,0,0,0,0,404,
GiovaniGuizzo/OPLA-Patterns/,https://github.com/GiovaniGuizzo/OPLA-Patterns/,55,55,0,0,0,0,0,0,0,200,
dresden-ocl/legacy/,https://github.com/dresden-ocl/legacy/,55,46,9,0,0,0,0,0,0,200,
humbertodias/pygame-sdl1-asteroids-pc/,https://github.com/humbertodias/pygame-sdl1-asteroids-pc/,55,1,0,0,0,0,0,0,54,200,
harshilasu/GraphicMelon/,https://github.com/harshilasu/GraphicMelon/,55,0,0,0,0,0,0,0,55,200,
IsaacHuang/google-cloud-sdk/,https://github.com/IsaacHuang/google-cloud-sdk/,55,0,0,0,0,0,0,0,55,404,
echonest/remix/,https://github.com/echonest/remix/,54,0,0,0,0,0,0,0,54,200,
harshilasu/LinkurApp/,https://github.com/harshilasu/LinkurApp/,54,0,0,0,0,0,0,0,54,200,
heberthbraga/webrtc/,https://github.com/heberthbraga/webrtc/,54,0,0,0,0,0,0,0,54,200,
williballenthin/williballenthin.com/,https://github.com/williballenthin/williballenthin.com/,54,0,0,0,0,0,0,0,54,200,
manisero/SemesterIX/,https://github.com/manisero/SemesterIX/,53,50,0,0,3,0,0,0,0,200,
joliebig/featurehouse_fstcomp_examples/,https://github.com/joliebig/featurehouse_fstcomp_examples/,53,0,53,0,0,0,0,0,0,200,
adisandro/MMINT/,https://github.com/adisandro/MMINT/,52,51,0,0,1,0,0,0,0,200,
visionnguyen/remote-desktop/,https://github.com/visionnguyen/remote-desktop/,51,43,0,0,7,0,0,1,0,200,
i02sopop/gestas/,https://github.com/i02sopop/gestas/,51,0,0,0,51,0,0,0,0,301,https://github.com/ritholution/gestas
Mattia26/CarLoan/,https://github.com/Mattia26/CarLoan/,51,0,0,0,0,0,0,51,0,200,
mvladk/dp2012/,https://github.com/mvladk/dp2012/,51,0,30,0,21,0,0,0,0,200,
NIEM/NIEM-UML/,https://github.com/NIEM/NIEM-UML/,50,0,50,0,0,0,0,0,0,200,
rkday/jain-sip/,https://github.com/rkday/jain-sip/,50,0,0,0,0,0,0,50,0,200,
sodabeta7/Python-Pascal-Compiler/,https://github.com/sodabeta7/Python-Pascal-Compiler/,50,0,0,0,0,0,0,0,50,200,
DistributedSystemGroup4/Distributed-Taxi-Central/,https://github.com/DistributedSystemGroup4/Distributed-Taxi-Central/,49,49,0,0,0,0,0,0,0,200,
ulanisMines/playmybatik/,https://github.com/ulanisMines/playmybatik/,49,48,1,0,0,0,0,0,0,200,
OOP-BPGC-201415/2014-Project-Docs/,https://github.com/OOP-BPGC-201415/2014-Project-Docs/,49,0,0,0,43,4,0,2,0,301,https://github.com/OOP-BPGC/2014-Project-Docs
lofidewanto/dep-injection-examples/,https://github.com/lofidewanto/dep-injection-examples/,48,48,0,0,0,0,0,0,0,200,
ModelDriven/Alf-Reference-Implementation/,https://github.com/ModelDriven/Alf-Reference-Implementation/,48,45,3,0,0,0,0,0,0,200,
janjic/Patterns_PHP/,https://github.com/janjic/Patterns_PHP/,48,22,0,0,23,0,0,3,0,200,
svn2github/jain-sip/,https://github.com/svn2github/jain-sip/,48,0,0,0,0,0,0,48,0,200,
jeevatkm/generic-repo/,https://github.com/jeevatkm/generic-repo/,47,47,0,0,0,0,0,0,0,200,
artist-project/ARTIST-MUT/,https://github.com/artist-project/ARTIST-MUT/,47,45,0,0,1,0,0,1,0,200,
jackjackrene/SAD_Pi/,https://github.com/jackjackrene/SAD_Pi/,47,45,0,0,2,0,0,0,0,200,
wilkinsmt1/CPTS-323-SAD-Project/,https://github.com/wilkinsmt1/CPTS-323-SAD-Project/,47,33,0,0,14,0,0,0,0,200,
ahajirnis/clubuml2013/,https://github.com/ahajirnis/clubuml2013/,47,7,0,0,8,0,0,32,0,200,
hackfestca/cnb/,https://github.com/hackfestca/cnb/,47,0,0,0,0,0,0,0,47,200,
ivalop81/workspace/,https://github.com/ivalop81/workspace/,46,46,0,0,0,0,0,0,0,200,
CP317-2013/LorisPlus/,https://github.com/CP317-2013/LorisPlus/,46,0,0,0,0,0,0,46,0,404,
moliz/moliz.alf/,https://github.com/moliz/moliz.alf/,46,43,3,0,0,0,0,0,0,200,
Shreeprabha/designer/,https://github.com/Shreeprabha/designer/,46,10,0,36,0,0,0,0,0,200,
AndersonZion/spammichelangelo/,https://github.com/AndersonZion/spammichelangelo/,46,0,0,0,0,0,0,46,0,200,
adamdabrowski04/KPO/,https://github.com/adamdabrowski04/KPO/,45,0,0,0,0,45,0,0,0,200,
jasonbrooks/ovirt-stg/,https://github.com/jasonbrooks/ovirt-stg/,45,0,0,0,38,6,0,0,1,200,
GerasimIG/SimpleSocialNetwork/,https://github.com/GerasimIG/SimpleSocialNetwork/,44,44,0,0,0,0,0,0,0,200,
Azure/azure-content-jajp/,https://github.com/Azure/azure-content-jajp/,44,0,0,0,44,0,0,0,0,404,
GufCab/Semester-Projekt---Pi-Program/,https://github.com/GufCab/Semester-Projekt---Pi-Program/,44,44,0,0,0,0,0,0,0,200,
TimHarrison1260/Dissertation/,https://github.com/TimHarrison1260/Dissertation/,44,44,0,0,0,0,0,0,0,200,
askpt/LAPR4/,https://github.com/askpt/LAPR4/,44,0,0,0,44,0,0,0,0,200,
MinmingQian/ArgoUML/,https://github.com/MinmingQian/ArgoUML/,44,0,44,0,0,0,0,0,0,301,https://github.com/mingmmq/ArgoUML
mquan86/java-design-pattern/,https://github.com/mquan86/java-design-pattern/,44,0,0,0,44,0,0,0,0,200,
oVirt/ovirt-site/,https://github.com/oVirt/ovirt-site/,44,0,0,0,37,6,0,0,1,200,
sangnvus/2015FALLIS02/,https://github.com/sangnvus/2015FALLIS02/,44,0,0,0,44,0,0,0,0,200,
ampie/pavanecce/,https://github.com/ampie/pavanecce/,43,43,0,0,0,0,0,0,0,404,
dmpyatin/SchedulerHost/,https://github.com/dmpyatin/SchedulerHost/,43,43,0,0,0,0,0,0,0,200,
swmuir/mdht/,https://github.com/swmuir/mdht/,43,42,0,0,1,0,0,0,0,200,
jhipster/jhipster-uml/,https://github.com/jhipster/jhipster-uml/,43,22,21,0,0,0,0,0,0,200,
bergsteiger/mindstream/,https://github.com/bergsteiger/mindstream/,43,5,0,0,38,0,0,0,0,200,
Skycle/gtd/,https://github.com/Skycle/gtd/,43,0,0,0,43,0,0,0,0,404,
stgovirt/stgovirt.github.io/,https://github.com/stgovirt/stgovirt.github.io/,43,0,0,0,36,6,0,0,1,404,
MozillaSecurity/FuzzManager/,https://github.com/MozillaSecurity/FuzzManager/,43,0,0,0,0,0,0,0,43,200,
tsantalis/RefactoringMiner/,https://github.com/tsantalis/RefactoringMiner/,43,0,15,0,28,0,0,0,0,200,
ATOffenburg/eCar/,https://github.com/ATOffenburg/eCar/,42,42,0,0,0,0,0,0,0,200,
Azure/azure-content-ptbr/,https://github.com/Azure/azure-content-ptbr/,42,0,0,0,42,0,0,0,0,404,
SINTEF-9012/bvr/,https://github.com/SINTEF-9012/bvr/,42,42,0,0,0,0,0,0,0,200,
daniel-noland/MemoryOracle/,https://github.com/daniel-noland/MemoryOracle/,42,0,0,0,0,0,0,0,42,200,
ldw5258/gtd/,https://github.com/ldw5258/gtd/,42,0,0,0,42,0,0,0,0,404,
izahn/worg-mirror/,https://github.com/izahn/worg-mirror/,42,0,0,0,42,0,0,0,0,200,
lortnus/ezc/,https://github.com/lortnus/ezc/,42,0,0,0,42,0,0,0,0,200,
mdrafiur/CSC326-MachineProject/,https://github.com/mdrafiur/CSC326-MachineProject/,42,0,0,0,0,0,0,0,42,404,
lucasjellema/soasuitehandbook/,https://github.com/lucasjellema/soasuitehandbook/,42,0,0,0,0,0,0,42,0,200,
NCIP/caarray-docs/,https://github.com/NCIP/caarray-docs/,42,0,42,0,0,0,0,0,0,200,
zz2/zft/,https://github.com/zz2/zft/,42,0,0,0,0,0,0,0,42,404,
artist-project/ARTIST-TFT/,https://github.com/artist-project/ARTIST-TFT/,41,41,0,0,0,0,0,0,0,200,
Azure/azure-content-dede/,https://github.com/Azure/azure-content-dede/,41,0,0,0,41,0,0,0,0,404,
patrickneubauer/fuml-library-support/,https://github.com/patrickneubauer/fuml-library-support/,41,41,0,0,0,0,0,0,0,200,
RLH78/CPTS_323_Project/,https://github.com/RLH78/CPTS_323_Project/,41,41,0,0,0,0,0,0,0,200,
Vycka/KTU.DataTransfer/,https://github.com/Vycka/KTU.DataTransfer/,41,41,0,0,0,0,0,0,0,200,
ricki1337/SeIvJaRi_SE_Praktikumsverwaltung/,https://github.com/ricki1337/SeIvJaRi_SE_Praktikumsverwaltung/,41,34,0,0,0,2,0,5,0,301,https://github.com/rickreim/SeIvJaRi_SE_Praktikumsverwaltung
imadkaf/PFE/,https://github.com/imadkaf/PFE/,41,0,0,0,41,0,0,0,0,200,
SAD-UMG-2015/MRP/,https://github.com/SAD-UMG-2015/MRP/,41,6,0,0,27,0,0,8,0,404,
MichaelNunes/Neo-Tandem-Tech-Eye-Tracking/,https://github.com/MichaelNunes/Neo-Tandem-Tech-Eye-Tracking/,41,0,0,0,41,0,0,0,0,200,
Jiwan/Civilisation/,https://github.com/Jiwan/Civilisation/,40,40,0,0,0,0,0,0,0,200,
Omarmtz/Perceptual-Hash/,https://github.com/Omarmtz/Perceptual-Hash/,40,40,0,0,0,0,0,0,0,200,
Baspar/InteractiveBattleshipProject/,https://github.com/Baspar/InteractiveBattleshipProject/,40,39,0,0,1,0,0,0,0,200,
pietermartin/umlg/,https://github.com/pietermartin/umlg/,40,39,0,0,1,0,0,0,0,200,
NAMD/pypln.org/,https://github.com/NAMD/pypln.org/,40,0,0,0,0,0,0,0,40,200,
sacdar/CPP-Design-Patterns/,https://github.com/sacdar/CPP-Design-Patterns/,40,0,0,19,21,0,0,0,0,200,
tulios/projetofinal-roteiros/,https://github.com/tulios/projetofinal-roteiros/,40,0,0,0,40,0,0,0,0,200,
yogykwan/yogykwan.github.io/,https://github.com/yogykwan/yogykwan.github.io/,40,0,0,0,8,0,0,32,0,200,
dinkelstefan/Project-Qars-Windesheim/,https://github.com/dinkelstefan/Project-Qars-Windesheim/,39,39,0,0,0,0,0,0,0,200,
GufCab/Semester-Projekt---Test-Kode/,https://github.com/GufCab/Semester-Projekt---Test-Kode/,39,39,0,0,0,0,0,0,0,200,
mdht/mdht/,https://github.com/mdht/mdht/,39,38,0,0,1,0,0,0,0,200,
softwarepublico/oasis/,https://github.com/softwarepublico/oasis/,39,0,0,0,39,0,0,0,0,200,
a-jahanshahlo/Feedor/,https://github.com/a-jahanshahlo/Feedor/,38,38,0,0,0,0,0,0,0,200,
deib-polimi/Corretto/,https://github.com/deib-polimi/Corretto/,38,38,0,0,0,0,0,0,0,200,
calabashdad/calabashdad.github.com/,https://github.com/calabashdad/calabashdad.github.com/,38,0,0,0,6,0,0,32,0,404,
